CO2,Date
333.13,5/1/74
332.09,6/1/74
331.1,7/1/74
329.14,8/1/74
327.36,9/1/74
327.29,10/1/74
328.23,11/1/74
329.55,12/1/74
330.62,1/1/75
331.4,2/1/75
331.87,3/1/75
333.18,4/1/75
333.92,5/1/75
333.43,6/1/75
331.85,7/1/75
330.01,8/1/75
328.51,9/1/75
328.41,10/1/75
329.25,11/1/75
330.97,12/1/75
331.6,1/1/76
332.6,2/1/76
333.57,3/1/76
334.72,4/1/76
334.68,5/1/76
334.17,6/1/76
332.96,7/1/76
330.8,8/1/76
328.98,9/1/76
328.57,10/1/76
330.2,11/1/76
331.58,12/1/76
332.67,1/1/77
333.17,2/1/77
334.86,3/1/77
336.07,4/1/77
336.82,5/1/77
336.12,6/1/77
334.81,7/1/77
332.56,8/1/77
331.3,9/1/77
331.22,10/1/77
332.37,11/1/77
333.49,12/1/77
334.71,1/1/78
335.23,2/1/78
336.54,3/1/78
337.79,4/1/78
337.95,5/1/78
338,6/1/78
336.37,7/1/78
334.47,8/1/78
332.46,9/1/78
332.29,10/1/78
333.76,11/1/78
334.8,12/1/78
336,1/1/79
336.63,2/1/79
337.93,3/1/79
338.95,4/1/79
339.05,5/1/79
339.27,6/1/79
337.64,7/1/79
335.68,8/1/79
333.77,9/1/79
334.09,10/1/79
335.29,11/1/79
336.76,12/1/79
337.77,1/1/80
338.26,2/1/80
340.1,3/1/80
340.88,4/1/80
341.47,5/1/80
341.31,6/1/80
339.41,7/1/80
337.74,8/1/80
336.07,9/1/80
336.07,10/1/80
337.22,11/1/80
338.38,12/1/80
339.32,1/1/81
340.41,2/1/81
341.69,3/1/81
342.51,4/1/81
343.02,5/1/81
342.54,6/1/81
340.88,7/1/81
338.75,8/1/81
337.05,9/1/81
337.13,10/1/81
338.45,11/1/81
339.85,12/1/81
340.9,1/1/82
341.7,2/1/82
342.7,3/1/82
343.65,4/1/82
344.28,5/1/82
343.42,6/1/82
342.02,7/1/82
339.97,8/1/82
337.84,9/1/82
338,10/1/82
339.2,11/1/82
340.63,12/1/82
341.41,1/1/83
342.68,2/1/83
343.04,3/1/83
345.27,4/1/83
345.92,5/1/83
345.4,6/1/83
344.16,7/1/83
342.11,8/1/83
340.11,9/1/83
340.15,10/1/83
341.38,11/1/83
343.02,12/1/83
343.87,1/1/84
344.59,2/1/84
345.11,3/1/84
347.07,4/1/84
347.38,5/1/84
346.78,6/1/84
344.96,7/1/84
342.71,8/1/84
340.86,9/1/84
341.13,10/1/84
342.84,11/1/84
344.32,12/1/84
344.88,1/1/85
345.62,2/1/85
347.23,3/1/85
347.62,4/1/85
348.53,5/1/85
347.87,6/1/85
346,7/1/85
343.86,8/1/85
342.55,9/1/85
342.57,10/1/85
344.11,11/1/85
345.49,12/1/85
346.04,1/1/86
346.7,2/1/86
347.38,3/1/86
349.38,4/1/86
349.93,5/1/86
349.26,6/1/86
347.44,7/1/86
345.55,8/1/86
344.21,9/1/86
343.67,10/1/86
345.09,11/1/86
346.27,12/1/86
347.33,1/1/87
347.82,2/1/87
349.29,3/1/87
350.91,4/1/87
351.71,5/1/87
350.94,6/1/87
349.1,7/1/87
346.77,8/1/87
345.73,9/1/87